date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-24,1.0,0.9999999987126916,1.0000000013652413,46303774477
2024-12-25,1.0,0.999999998485547,1.0000000015036963,46303774477
2024-12-26,1.0,0.9999999982663271,1.0000000019963682,46303774477
2024-12-27,1.0,0.9999999977576539,1.0000000024863058,46303774477
2024-12-28,1.0,0.9999999967479104,1.000000003775569,46303774477
2024-12-29,1.0,0.9999999951066155,1.0000000052605054,46303774477
2024-12-30,1.0,0.9999999928635857,1.000000007665969,46303774477
2024-12-31,1.0,0.9999999911062419,1.0000000091928736,46303774477
2025-01-01,1.0,0.9999999892452673,1.0000000117584689,46303774477
2025-01-02,1.0,0.999999987008169,1.0000000142003969,46303774477
2025-01-03,1.0,0.9999999851463104,1.0000000168743897,46303774477
2025-01-04,1.0,0.9999999827670877,1.000000019541232,46303774477
2025-01-05,1.0,0.9999999801969792,1.0000000221907777,46303774477
2025-01-06,1.0,0.9999999773216888,1.0000000262496318,46303774477
2025-01-07,1.0,0.9999999741965311,1.0000000284620327,46303774477
2025-01-08,1.0,0.999999971741498,1.0000000320570317,46303774477
2025-01-09,1.0,0.9999999695663544,1.0000000356369811,46303774477
2025-01-10,1.0,0.9999999668053153,1.0000000398515188,46303774477
2025-01-11,1.0,0.9999999628069298,1.000000042334061,46303774477
2025-01-12,1.0,0.9999999595913637,1.0000000467606849,46303774477
2025-01-13,1.0,0.9999999551816003,1.0000000514704832,46303774477
2025-01-14,1.0,0.9999999510717181,1.0000000554014592,46303774477
2025-01-15,1.0,0.9999999471462816,1.000000058787204,46303774477
2025-01-16,1.0,0.999999943358978,1.0000000636210566,46303774477
2025-01-17,1.0,0.9999999376425769,1.0000000665591486,46303774477
2025-01-18,1.0,0.9999999334362045,1.0000000717104625,46303774477
2025-01-19,1.0,0.9999999303636753,1.0000000761009147,46303774477
2025-01-20,1.0,0.9999999256850315,1.0000000803413809,46303774477
2025-03-04,1.9999996656589085,1.999999665657415,1.9999996656602754,46303862950
2025-03-05,1.9999996656589087,1.9999996656572931,1.9999996656604342,46303862950
2025-03-06,1.9999996656589092,1.9999996656572254,1.999999665660554,46303862950
2025-03-07,1.9999996656589094,1.9999996656570225,1.99999966566069,46303862950
2025-03-08,1.9999996656589096,1.999999665656912,1.999999665660821,46303862950
2025-03-09,1.99999966565891,1.9999996656557912,1.999999665661276,46303862950
2025-03-10,1.9999996656589103,1.9999786933860968,1.9999996656619732,46303862950
2025-03-11,1.9999996656589105,1.999944032681041,2.000052760254445,46303862950
2025-03-12,1.9999996656589107,1.999899286329761,2.0000907054668056,46303862950
2025-03-13,1.9999996656589112,1.999841038549326,2.000151373427265,46303862950
2025-03-14,1.9999996656589114,1.9997391717956066,2.0002225039554227,46303862950
2025-03-15,1.9999996656589116,1.9996532067403496,2.000283257186595,46303862950
2025-03-16,1.9999996656589119,1.99955867187475,2.000351766526645,46303862950
2025-03-17,1.9999996656589123,1.9994601253812045,2.000478517245248,46303862950
2025-03-18,1.9999996656589125,1.9993926611610628,2.000602909491984,46303862950
2025-03-19,1.9999996656589127,1.999289722880658,2.000729185784711,46303862950
2025-03-20,1.9999996656589132,1.999188667552481,2.000857034649891,46303862950
2025-03-21,1.9999996656589134,1.9990743304141005,2.000976831555782,46303862950
2025-03-22,1.9999996656589136,1.9989937345004216,2.001127330267236,46303862950
2025-03-23,1.9999996656589138,1.9988645350467702,2.0012596548523502,46303862950
2025-03-24,1.9999996656589143,1.9987341373154608,2.001399478518854,46303862950
2025-03-25,1.9999996656589145,1.9985749152385475,2.0015291137448132,46303862950
2025-03-26,1.9999996656589147,1.9984245531102203,2.0016905991138145,46303862950
2025-03-27,1.999999665658915,1.998313511967084,2.0018073547231636,46303862950
2025-03-28,1.9999996656589154,1.9982072319996662,2.0019252801553837,46303862950
2025-03-29,1.9999996656589156,1.9981003518534017,2.00206849963007,46303862950
2025-03-30,1.9999996656589158,1.9979496133791121,2.002205315419103,46303862950
2025-03-31,1.9999996656589163,1.997775853190367,2.0023454182214193,46303862950
2025-03-04,5.434594712288739,1.2590280631364394,9.630243345357869,46303877432
2025-03-05,4.865590756422694,0.8207801260502353,8.86989470781737,46303877432
2025-03-06,4.296586800556636,0.0035955118114784027,8.319836217555796,46303877432
2025-03-07,3.727582844690591,-0.21116664678177285,7.998242518270282,46303877432
2025-03-08,3.1585788888245467,-0.7043122678076839,7.593040819832685,46303877432
2025-03-09,2.5895749329585023,-1.6280752498500968,6.680702182553666,46303877432
2025-03-10,2.020570977092458,-1.7197759314205394,6.257405248735803,46303877432
2025-03-11,1.4515670212264133,-2.7016226157247174,5.778232172758766,46303877432
2025-03-12,0.8825630653603618,-3.2475205083648184,5.0685508404129775,46303877432
2025-03-13,0.3135591094943173,-3.718158686529569,4.260469922323583,46303877432
2025-03-14,-0.25544484637172715,-4.5900653438362164,3.9699146074908107,46303877432
2025-03-15,-0.8244488022377716,-5.099683940758369,3.0748121107464694,46303877432
2025-03-16,-1.393452758103816,-5.462193605740535,2.6194290103343882,46303877432
2025-03-17,-1.9624567139698605,-6.22825321647584,2.108631002561695,46303877432
2025-03-18,-2.531460669835919,-6.730172982160608,1.7243831555856572,46303877432
2025-03-19,-3.1004646257019637,-7.282554193725571,0.7271799506408827,46303877432
2025-03-20,-3.669468581568008,-7.772677075826231,0.695568412459569,46303877432
2025-03-21,-4.238472537434053,-8.29003989231739,-0.2419714545983248,46303877432
2025-03-22,-4.807476493300097,-8.679487204879834,-0.7097622913763701,46303877432
